position,euclidean_dist
30,83.8562596507965
40,59.54506509161318
50,49.27561292202115
60,64.16809964215294
70,67.20460841744071
80,69.72165409593937
90,64.5830648326497
100,70.41150584111843
110,65.46291856502441
120,68.10553308029404
130,74.16202485695966
140,70.43190317282216
150,67.04879146416219
160,66.09520019002122
170,65.95541296476195
180,57.08829764579508
190,49.78803757177609
200,52.08388981632661
210,52.252834650553574
220,53.30864353206972
230,48.565346250303044
240,50.19727112129644
250,57.45599132582723
260,54.02457711795054
270,54.73719570177444
280,62.24423229416074
290,66.6699387533526
300,67.35376367017894
310,66.52403885673553
320,72.41671519528003
330,71.50631203913085
340,70.4654043270498
350,78.10473888629726
360,80.67532632757872
370,78.55835834043185
380,78.88519614936028
390,76.60890956390489
400,75.96061196401524
410,70.41793779138428
420,67.3642265779156
430,64.37838846236238
440,63.53365268389479
450,59.07120364356533
460,55.70931539763055
470,55.33604083671418
480,50.39818471339306
490,54.89837449445627
500,47.54796433957603
510,66.64216149104546
520,86.02571932954879
530,114.12207135059285
540,152.25786933409302
550,193.31196528178197
560,235.3479233441213
570,269.66743125856954
580,300.74255744609235
590,324.4746552415797
600,335.17754366837164
610,346.213715831522
620,351.94079032800875
630,352.30475357701715
640,348.20511491279876
650,336.229499819806
660,323.70235415766786
670,306.1508921004011
680,288.05857220561677
690,270.51369719219724
700,251.2023071202625
710,228.8253093024878
720,211.60734215947335
730,199.9565164871839
740,199.07220161574682
750,191.57206901172307
760,187.63840165837755
770,191.8097538355122
780,186.11354994029836
790,191.30589773036823
800,179.1537252841793
810,163.86636954722485
820,156.04613557567728
830,150.03677920100031
840,147.8807013838543
850,132.97048773621816
860,130.55775753397316
870,133.9532069760794
880,140.2597860837999
890,141.17286210691827
900,137.44590513840288
910,141.80248116368227
920,153.42493066355607
930,154.18202309729725
940,154.30221727231827
950,154.34164628478504
960,151.45208082395067
970,151.48603653506774
980,148.63202415236273
990,152.23792986851893
1000,154.99322120125004
1010,154.26483972318331
1020,169.57068680933781
1030,178.37177246303338
1040,200.12684745848165
1050,204.57812659794536
1060,219.08333437778742
1070,244.48806150501562
1080,271.43939608928144
1090,284.6639107730338
1100,293.8907244796853
1110,316.14721709180077
1120,324.2150685912167
1130,335.7865581663849
1140,338.0948437899458
1150,327.5415877100961
1160,326.73852226846697
1170,324.83131379699785
1180,325.8869638714323
1190,312.90710973313566
1200,292.75087540920987
1210,299.0296146182093
1220,287.66895874602164
1230,277.3896233671146
1240,264.0832457241107
1250,258.7604223275181
1260,261.9832276972181
1270,249.3352392487853
1280,237.5514450081689
1290,222.88034492829166
1300,215.6978260352751
1310,211.84700307503104
1320,197.96067621830605
1330,184.96635730445763
1340,176.54745354613618
1350,174.71260885665532
1360,162.62690314233976
1370,155.26503354911884
1380,154.92678481679226
1390,162.10200369684006
1400,170.98533048082226
1410,168.4332102883684
1420,173.4731607211698
1430,167.30836183147716
1440,171.07649490233317
1450,163.96480008812705
1460,154.80487787533434
1470,143.00581725782095
