error_mm,error_mm_shuffled,region,subject,date,n_neurons,n_trials
389.461840110219,423.5783822468307,PERI 35,459601,20240409,25,30
384.6857408217153,423.28030616634425,PERI 36,459601,20240409,24,30
286.880566299478,421.7911702417087,TEa,459601,20240409,66,30
230.50198222280497,422.77205606670327,VIS,459601,20240409,44,30
329.43967857044373,421.3461063749138,dCA1,459601,20240409,75,30
414.06612978948135,429.72952718025607,PERI 35,459601,20240410,16,48
370.6601329863134,426.38981206637686,PERI 36,459601,20240410,48,48
160.33979531553516,428.34598468822844,TEa,459601,20240410,88,48
186.16621434578153,428.7681270307239,VIS,459601,20240410,127,48
167.99884938001816,428.1020978650689,dCA1,459601,20240410,91,48
342.12183170395434,406.2281725895555,LEC,459601,20240411,10,82
385.96506485856224,407.05789137562004,PERI 35,459601,20240411,47,82
360.372430529042,406.402703746728,PERI 36,459601,20240411,62,82
275.6660930157249,405.7559153728048,TEa,459601,20240411,75,82
353.2406289037606,406.4321608515192,VIS,459601,20240411,25,82
363.77187971760645,406.4442084744578,dCA1,459601,20240411,25,82
361.00722285707883,403.07137947635164,LEC,462910,20240813,51,120
222.29123975280262,402.31175275197813,VIS,462910,20240813,58,120
111.82978388406913,403.75508428835235,iCA1,462910,20240813,155,120
367.45235216112593,402.780562329718,dCA1,462910,20240813,70,120
347.32938005432896,389.969630192188,AUD,462910,20240814,8,134
368.2846595842498,389.51182923021315,LEC,462910,20240814,15,134
342.160788283007,389.37629146120344,PERI 35,462910,20240814,8,134
366.3917165337218,388.44614256194285,PERI 36,462910,20240814,46,134
233.33978152629217,388.12504743421624,iCA1,462910,20240814,59,134
365.39687929894876,389.05603330824454,dCA1,462910,20240814,87,134
255.16025848036557,375.8265862912344,VIS,462910,20240815,176,70
192.16449960546086,375.2886447316456,iCA1,462910,20240815,138,70
362.0132335238736,376.12699430682073,dCA1,462910,20240815,32,70
373.67247162678024,412.55595725969647,AUD,462911,20240809,86,111
398.72023665701414,413.24620981740816,PERI 35,462911,20240809,18,111
391.7682921640536,413.041278766609,PERI 36,462911,20240809,57,111
392.4388447702619,412.5724723254893,TEa,462911,20240809,34,111
386.7929803277152,413.424857198652,VIS,462911,20240809,31,111
340.6406379231467,413.0641691707964,dCA1,462911,20240809,108,111
360.08415939414766,376.1885654282646,dCA1,466394,20241105,77,21
343.61067703507325,377.14059001243544,AUD,466394,20241105,175,21
362.95919223616625,377.55041452864486,PERI 35,466394,20241105,22,21
364.72777360871754,375.65736471257156,PERI 36,466394,20241105,10,21
352.752269094818,376.27976427069024,TEa,466394,20241105,57,21
345.7539187724881,380.1213448672786,AUD,466394,20241107,138,60
370.3609169213236,381.90227270481796,LEC,466394,20241107,14,60
356.0360424191147,378.6126835388131,PERI 35,466394,20241107,55,60
343.4091452318862,378.968752817292,PERI 36,466394,20241107,63,60
340.90128722485645,379.55244247965635,TEa,466394,20241107,73,60
296.69730044230005,352.6912258055102,AUD,466394,20241108,145,74
346.3977165969953,352.7394832475466,LEC,466394,20241108,5,74
337.5236604775622,352.8670350621073,PERI 35,466394,20241108,64,74
316.7384167530717,352.9016079780035,PERI 36,466394,20241108,38,74
332.9337139420492,352.9291382237986,TEa,466394,20241108,61,74
358.62356123209787,353.82729975064626,VIS,466394,20241108,8,74
333.69274669500777,352.7566544679628,dCA1,466394,20241108,53,74
372.542406487927,377.8942509661476,LEC,466395,20241113,5,26
331.7616182402626,379.55340292086623,PERI 35,466395,20241113,78,26
354.5155351912226,378.60530018354035,PERI 36,466395,20241113,31,26
111.61932809629728,381.18766472772705,TEa,466395,20241113,297,26
362.2592931612735,379.1562699460543,VIS,466395,20241113,7,26
349.52539342957874,380.4579506764551,dCA1,466395,20241113,56,26
278.2234930929727,348.8456146909017,AUD,466395,20241114,96,59
332.4506894795558,349.2677683935657,PERI 35,466395,20241114,82,59
323.20287434171735,348.69509411061244,PERI 36,466395,20241114,40,59
335.5979192318039,349.0848488678921,TEa,466395,20241114,38,59
330.2799592526536,348.1068109676851,VIS,466395,20241114,7,59
308.06550538905645,349.29206925738305,dCA1,466395,20241114,39,59
353.0220840853325,370.1865801877128,AUD,466395,20241115,134,40
362.5861757391155,370.49200718899766,TEa,466395,20241115,17,40
347.5218073150803,370.8314295384766,dCA1,466395,20241115,71,40
285.8413755325148,348.16970789567574,AUD,466396,20241031,73,24
321.34217435643103,349.8416469066683,LEC,466396,20241031,42,24
327.3611320417659,348.3879043839013,PERI 35,466396,20241031,13,24
217.6739613059122,348.37229812413875,PERI 36,466396,20241031,47,24
275.549800984763,348.6354214791961,TEa,466396,20241031,30,24
298.65647475629174,348.32520999379136,VIS,466396,20241031,48,24
202.67805248319095,350.08864079126636,dCA1,466396,20241031,127,24
306.706147649142,359.2715853526587,LEC,466396,20241101,100,18
240.54240935260083,358.8590936244411,VIS,466396,20241101,38,18
187.94623927279065,359.32468974145195,iCA1,466396,20241101,69,18
298.13279302903265,358.34970588898,dCA1,466396,20241101,57,18
300.5794519168703,371.6642915130855,LEC,472975,20250326,109,38
273.0487299215589,370.41674491054647,PERI 35,472975,20250326,75,38
257.6196980934076,370.2012906370626,PERI 36,472975,20250326,35,38
213.08337134804853,369.0681169397361,TEa,472975,20250326,120,38
184.96811317083004,371.2004223703425,VIS,472975,20250326,83,38
322.86357765044824,372.3086427412136,dCA1,472975,20250326,37,38
